seller_id,seller_state,receita
ef0ace09169ac090589d85746e3e036f,RJ,18538.95
2138ccb85b11a4ec1e37afbd1c8eda1f,SP,18198.99
abe42c5d03695b4257b5c6cbf4e6784e,RJ,18158.23
0adac9fbd9a2b63cccaac4f8756c1ca8,SP,18112.8
229c3efbfb0ea2058de4ccdfbc3d784a,MG,18010.99
1b4c3a6f53068f0b6944d2d005c9fc89,SC,17791.670000000002
8ae520247981aa06bc94abddf5f46d34,SC,17766.34
01fdefa7697d26ad920e9e0346d4bd1b,PR,17690.07
66922902710d126a0e7d26b0e3805106,MG,17581.07
4a3ccda38b2129705f3fb522db62ca31,SP,17561.81
d921b68bf747894be13a97ae52b0f386,MG,17403.81
5cf13accae3222c70a9cac40818ae839,MG,17402.47
d94a40fd42351c259927028d163af842,MG,17220.94
e5a38146df062edaf55c38afa99e42dc,SP,17172.510000000002
c3acdfac4e3e97ff87529454fbc03642,SP,17057.28
6d66611d7c44cc30ce351abc49a68421,SP,16854.37
2e90cb1677d35cfe24eef47d441b7c87,SP,16782.16
f9244d45189d3a3605499abddeade7d5,SP,16607.42
1f1bb1f0859883505541bdd6606193e5,SP,16562.87
3b15288545f8928d3e65a8f949a28291,SP,16513.69
6061155addc1e54b4cfb51c1c2a32ad8,SP,16513.31
669ae81880e08f269a64487cfb287169,SC,16485.2
75d34ebb1bd0bd7dde40dd507b8169c3,BA,16341.68
c847e075301870dd144a116762eaff9a,MG,16341.480000000001
a3e9a2c700480d9bb01fba070ba80a0e,SP,16323.89
a673821011d0cec28146ea42f5ab767f,SP,16224.98
8e6d7754bc7e0f22c96d255ebda59eba,SP,16212.51
cfb1a033743668a192316f3c6d1d2671,SP,16166.710000000001
a5cba26a62b8b4d0145b68b841e62e7f,PR,16120.66
6edacfd9f9074789dad6d62ba7950b9c,SP,16069.92
6039e27294dc75811c0d8a39069f52c0,SP,16047.17
1f9ab4708f3056ede07124aad39a2554,SP,16043.51
ac3508719a1d8f5b7614b798f70af136,RS,15792.230000000001
701938c450705b8ae65fc923b70f35c7,SP,15792.119999999999
05f51e13da97139648b8125c31e5f51b,MG,15788.3
530ec6109d11eaaf87999465c6afee01,PR,15640.210000000001
289cdb325fb7e7f891c38608bf9e0962,SP,15639.289999999999
b8bc237ba3788b23da09c0f1f3a3288c,SC,15621.16
c31eff8334d6b3047ed34bebd4d62c36,SP,15586.05
080199a181c46c657dc5aa235411be3b,SP,15544.880000000001
ce248b21cb2adc36282ede306b7660e5,SC,15455.2
aba1721a889e04decc910aa13b768ef4,SP,15352.47
440dd6ab244315c632130ecfb63827b1,SP,15275.380000000001
431af27f296bc6519d890aa5a05fdb11,SP,15250.85
e2a1ac9bf33e5549a2a4f834e70df2f8,SP,15200.56
c6bda72e4dbf5c5866b13cb1810c6d03,SP,15196.12
48436dade18ac8b2bce089ec2a041202,SP,15183.64
cf8ab1616079e2793aa29d524df01bb1,SP,15150.37
2e1c9f22be269ef4643f826c9e650a52,SP,15067.29
a6bd7d1ccdac48c6b33b28596b7eb122,PB,15046.63
0b35c634521043bf4b47e21547b99ab5,PR,15008.74
1ca7077d890b907f89be8c954a02686a,SP,15001.43
9e6229250fedbe05838fef417b74e7fb,SP,14986.65
00fc707aaaad2d31347cf883cd2dfe10,PR,14969.99
ef506c96320abeedfb894c34db06f478,SP,14938.34
e8b3a3a38279a82f0e5d006d5e5b7d2c,PR,14916.39
ce7d1888639e6fb06b2749cbfdac1ff7,MG,14876.54
e26901d5ab434ce92fd9b5c256820a4e,SP,14851.17
0ea22c1cfbdc755f86b9b54b39c16043,MG,14842.88
813348c996469b40f2e028d5429d3495,SP,14800.43
87b740daf17b5d1be335a64164ec6842,SP,14781.64
d50d79cb34e38265a8649c383dcffd48,SP,14740.3
f08a5b9dd6767129688d001acafc21e5,RS,14565.74
240b9776d844d37535668549a396af32,RJ,14452.65
610f72e407cdd7caaa2f8167b0163fd8,SP,14429.45
34d1ca11b242c0fee2c834ae8d788566,MG,14404.28
a7f13822ceb966b076af67121f87b063,SP,14389.6
d05ae8f7a5bd1d2a690a44cd079e4e27,RJ,14385.65
d6b1ce66b035a475f00c017792ff9769,SP,14315.880000000001
8d956fec2e4337affcb520f56fd8cbfd,SP,14302.05
95e03ca3d4146e4011985981aeb959b9,RJ,14243.5
2b1a40c1daabc6ca280c4b815c101841,MG,14175.74
cab85505710c7cb9b720bceb52b01cee,SP,14158.539999999999
80e6699fe29150b372a0c8a1ebf7dcc8,PR,14090.07
ad97a199236354e53fcd91a5a913e9a2,SC,14074.7
0be8ff43f22e456b4e0371b2245e4d01,SP,14074.19
ff063b022a9a0aab91bad2c9088760b7,SP,14061.27
7202e2ba20579a9bd1acb29e61fe71f6,SP,13916.16
8cc6a0e5738e61a87b03c78b2ba9db4b,MG,13838.22
b372ee768ed69e46ca8cdbd267aa7a38,SP,13813.84
99eaacc9e6046db1c82b163c5f84869f,SP,13784.66
e24fc9fcd865784fb25705606fe3dfe7,SP,13720.62
6cd68b3ed6d59aaa9fece558ad360c0a,MG,13718.460000000001
adbc26658d6c7b4b6219f9d934598091,PR,13692.25
c66dccfb3f109511246da627dd5a2498,SP,13682.25
c8b0e2b0a7095e5d8219575d5e7e1181,SP,13657.34
c60b801f2d52c7f7f91de00870882a75,SP,13652.89
5a8e7d5003a1f221f9e1d6e411de7c23,SP,13647.66
056b4ada5bbc2c50cc7842547dda6b51,RJ,13639.41
5d378b73ab7dd6f0418d743e5dcb0bd1,SP,13636.279999999999
6e386f64c84e482f0b9abf960797ee1b,SP,13563.66
70c27847eca8195c983ed7e798c56743,RJ,13529.18
1d8dbc4f32378d715c717c1c1fc57bae,PR,13421.05
ed4acab38528488b65a9a9c603ff024a,SP,13369.76
09f952a5f58d2285b0372551ae8f9b01,SP,13346.46
039e6ad9dae79614493083e241147386,SP,13273.42
c510bc1718f0f2961eaa42a23330681a,SP,13211.87
25e6ffe976bd75618accfe16cefcbd0d,SP,13188.28
54965bbe3e4f07ae045b90b0b8541f52,PR,13164.84
ca3bd7cd9f149df75950150d010fe4a2,SP,13128.59
8b8cfc8305aa441e4239358c9f6f2485,PR,13110.7
5058e8c1e82653974541e83690655b4a,SP,13077.93
562fc2f2c2863ab7e79a9e4388a58a14,SP,13036.48
f262cbc1c910c83959f849465454ddd3,SP,12958.14
1da3aeb70d7989d1e6d9b0e887f97c23,SP,12939.71
b499c00f28f4b7069ff6550af8c1348a,SP,12864.130000000001
b4f8921fcc4ff77b66bea6dda43dcd51,RS,12863.41
d1b65fc7debc3361ea86b5f14c68d2e2,SP,12823.32
4830e40640734fc1c52cd21127c341d4,SP,12794.88
ccb83a794700270fde70898fe9ff368b,SC,12785.73
c9c7905cffc4ef9ff9f113554423e671,SP,12766.71
fbc14c0cf93505ef89f64665ffa4a7b5,SP,12758.93
ce27a3cc3c8cc1ea79d11e561e9bebb6,SP,12726.09
f3b80352b986ab4d1057a4b724be19d0,DF,12692.73
7ea5bfa6c340f58f8e71fc1f0412b0d6,MG,12663.88
d71d863e5ef30d94e440c11be17dcd8f,SP,12655.65
72c5da29406b4234927b81855e7b64f6,SP,12652.470000000001
66e0557ecc2b4dbea057e93f215f68d8,SP,12628.42
1c129092bf23f28a5930387c980c0dfc,SP,12589.289999999999
7901646fdd36a55f564ffaf2dbccaaf7,RJ,12478.83
7040e82f899a04d1b434b795a43b4617,SP,12380.85
dd2bdf855a9172734fbc3744021ae9b9,MG,12306.73
c864036feaab8c1659f65ea4faebe1da,PR,12299.77
82e0a475a88cc9595229d8029273f045,SP,12216.4
5343d0649eca2a983820bfe93fc4d17e,SP,12194.09
33a6f4b1e7cdc205511e76ba1b6e0186,SP,12183.91
17ca9b9e9b9ef8fdb529001b49ebb50f,MG,12120.72
dd7ddc04e1b6c2c614352b383efe2d36,SP,12072.0
4e7c18b98d84e05cbae3ff0ff03846c2,SP,12053.88
c4d51195486dc781531876a7d00453d8,SP,12038.35
bba3293d6f5d5af2f415e004e8b93ae3,SP,12028.79
6973a06f484aacf400ece213dbf3d946,SP,11989.789999999999
9d5a9018aee56acb367ba9c3f05d1d6a,GO,11982.210000000001
23d7c96d4a1160db1c726b248601b25a,SP,11947.17
f80edd2c5aaa505cc4b0a3b219abf4b8,SP,11935.72
31344c16881c08a8a72c6d2eb29918c1,MG,11912.619999999999
8b28d096634035667e8263d57ba3368c,SP,11863.88
32b8764b4ef628b53608fc34011fcc13,SC,11854.42
fffd5413c0700ac820c7069d66d98c89,SP,11762.27
bd23da7354813347129d751591d1a6e2,SP,11704.82
aafe36600ce604f205b86b5084d3d767,SC,11673.2
01cf7e3d21494c41fb86034f2e714fa1,PR,11649.02
9b013e03b2ab786505a1d3b5c0756754,SP,11631.61
aaed1309374718fdd995ee4c58c9dfcd,SC,11627.77
3db66a856d18a9cba7c9241fc5221c50,MG,11522.66
9d4db00d65d7760644ac0c14edb5fd86,SP,11512.81
92eb0f42c21942b6552362b9b114707d,SP,11492.67
5656537e588803a555b8eb41f07a944b,DF,11395.42
0df3984f9dfb3d49ac6366acbd3bbb85,MG,11374.54
6c7d50c24b3ccd2fd83b44d8bb34e073,SP,11303.619999999999
cbd996ad3c1b7dc71fd0e5f5df9087e2,SP,11284.96
259f7b5e6e482c230e5bfaa670b6bb8f,SP,11265.25
